 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/30/2010


"Rank","Name","G","W-L","AB","H","BA"
"57","Northwestern St.","57","36-21","2008","646","0.322"
"58","Middle Tenn.","58","35-23","2134","686","0.321"
"59","Michigan","57","35-22","2040","655","0.321"
"60","Stony Brook","57","30-27","2023","649","0.321"
"61","Arizona","58","34-24","2052","658","0.321"
"62","Hofstra","49","20-28-1","1732","555","0.320"
"63","Memphis","58","28-30","2108","675","0.320"
"64","LSU","63","41-22","2264","723","0.319"
"65","Milwaukee","59","33-26","2070","661","0.319"
"66","Col. of Charleston","63","44-19","2293","732","0.319"
"67","James Madison","53","30-23","1840","587","0.319"
"68","Manhattan","51","31-20","1731","552","0.319"
"69","Virginia Tech","62","40-22","2224","709","0.319"
"70","Holy Cross","52","26-26","1785","569","0.319"
"71","Savannah St.","50","24-26","1703","542","0.318"
"72","California","54","29-25","1898","604","0.318"
"73","Stetson","58","27-31","2052","653","0.318"
"74","Murray St.","57","28-28-1","2006","638","0.318"
"75","Liberty","61","42-19","2174","691","0.318"
"76","Texas St.","60","38-22","2093","665","0.318"
"77","Kent St.","64","39-25","2371","753","0.318"
"78","N.C. A&T","57","31-26","1943","617","0.318"
"79","Jacksonville St.","58","32-26","2048","650","0.317"
"80","Marist","55","33-22","1878","596","0.317"
"81","Troy","61","36-25","2192","692","0.316"
"82","Belmont","54","27-27","1902","600","0.315"
"83","San Diego","59","37-22","2080","656","0.315"
"84","Jackson St.","53","36-17","1666","525","0.315"
"85","Indiana St.","54","35-19","1919","604","0.315"
"86","East Carolina","59","32-27","2059","648","0.315"
"87","Maine","56","34-22","1895","595","0.314"
"88","UNLV","58","29-29","2097","658","0.314"
"89","Valparaiso","56","24-32","2011","631","0.314"
"90","UTRGV","55","22-33","1887","592","0.314"
"91","Navy","51","30-21","1664","522","0.314"
"92","Louisville","64","50-14","2264","710","0.314"
"93","New York Tech","57","26-29-2","1982","620","0.313"
"94","Western Ill.","53","14-39","1805","564","0.312"
"95","Rider","59","36-23","2046","639","0.312"
"96","South Alabama","59","32-27","2095","654","0.312"
"97","Purdue","57","33-24","2038","636","0.312"
"98","Buffalo","52","23-29","1849","577","0.312"
"99","San Diego St.","56","28-28","1974","616","0.312"
"100","Gardner-Webb","55","25-30","2032","634","0.312"
"101","Arkansas St.","58","30-28","2071","646","0.312"
"102","UIC","54","24-30","1890","589","0.312"
"103","Samford","56","31-25","1983","617","0.311"
"104","Tulane","56","32-24","1900","591","0.311"
"105","Bucknell","60","25-35","2036","633","0.311"
"106","UC Riverside","55","32-23","1931","600","0.311"
"107","Columbia","47","26-21","1516","471","0.311"
"108","Southern Utah","54","18-36","1855","575","0.310"
"109","Vanderbilt","66","46-20","2320","719","0.310"
"110","Ga. Southern","58","34-24","2062","638","0.309"
"111","Massachusetts","46","19-27","1659","513","0.309"
"112","Western Caro.","59","37-21-1","2127","657","0.309"
"113","Fla. Atlantic","61","37-24","2150","664","0.309"
"114","Air Force","55","13-42","1986","613","0.309"
"115","North Carolina","60","38-22","2106","650","0.309"
"116","Southern Ill.","57","28-29","2075","640","0.308"
"117","Rutgers","57","30-26","1981","611","0.308"
"118","Nevada","59","36-22-1","2009","619","0.308"
"119","App State","57","38-18-1","1999","615","0.308"
"120","Norfolk St.","51","21-29-1","1704","524","0.308"
"121","UC Irvine","60","39-21","2104","647","0.308"
"122","Brown","44","13-31","1481","455","0.307"
"123","Oklahoma","68","50-18","2360","725","0.307"
"124","Southern U.","47","25-22","1680","516","0.307"
"125","Akron","55","21-34","2048","629","0.307"
"126","Texas Tech","57","28-29","1987","610","0.307"
"127","Oklahoma St.","55","29-26","1926","591","0.307"
"128","VCU","61","34-26-1","2132","654","0.307"
"129","A&M-Corpus Christi","54","20-33-1","1875","575","0.307"
"130","Alcorn","55","27-28","1893","580","0.306"
"131","Sacred Heart","58","31-27","1926","590","0.306"
"132","Winthrop","57","27-30","2018","618","0.306"
"133","Arkansas","64","43-21","2276","697","0.306"
"134","Clemson","70","45-25","2496","764","0.306"
"135","Butler","50","21-29","1745","534","0.306"
"136","Western Ky.","58","35-23","2085","638","0.306"
"137","Dartmouth","46","27-19","1551","474","0.306"
"138","West Virginia","57","27-30","2001","611","0.305"
"139","Siena","54","27-27","1918","585","0.305"
"140","UT Martin","55","24-31","1901","579","0.305"
"141","Minnesota","62","32-30","2243","683","0.305"
"142","Youngstown St.","56","22-34","2000","609","0.305"
"143","UC Davis","55","26-29","1935","589","0.304"
"144","George Washington","54","26-28","1883","573","0.304"
"145","Cal Poly","55","23-32","1990","605","0.304"
"146","UCLA","68","51-17","2362","718","0.304"
"147","Baylor","60","36-24","2073","630","0.304"
"148","Kansas","59","31-27-1","2067","628","0.304"
"149","McNeese","58","31-27","2094","636","0.304"
"150","Towson","55","19-36","1986","603","0.304"
"151","Austin Peay","53","28-25","1779","540","0.304"
"152","Grambling","54","22-32","1852","562","0.303"
"153","Villanova","52","29-23","1820","552","0.303"
"154","Ohio","55","20-35","2028","615","0.303"
"155","Radford","55","29-26","1963","595","0.303"
"156","Northwestern","56","24-32","1965","595","0.303"
"157","Army West Point","45","28-17","1416","428","0.302"
"158","Kentucky","56","31-25","1926","582","0.302"
"159","Sam Houston","55","19-36","1977","597","0.302"
"160","CSUN","56","29-27","2005","605","0.302"
"161","Texas Southern","56","30-26","1834","553","0.302"
"162","Dayton","55","23-32","1967","593","0.301"
"163","Central Mich.","58","36-22","2034","613","0.301"
"164","Long Beach St.","55","23-32","1932","582","0.301"
"165","Utah","51","23-28","1796","541","0.301"
"166","Georgia","53","16-37","1879","566","0.301"
"167","Nebraska","54","27-27","1877","565","0.301"
"168","Eastern Ky.","55","28-27","1864","561","0.301"
"169","St. Bonaventure","48","17-31","1683","506","0.301"
"170","Wofford","55","17-38","1966","591","0.301"
"171","Lipscomb","55","19-36","1986","597","0.301"
"172","Lamar University","61","35-26","2117","636","0.300"
"173","South Carolina","70","54-16","2444","734","0.300"
"174","Florida St.","68","48-20","2291","688","0.300"
"175","Rhode Island","57","31-26","2016","605","0.300"
"176","Xavier","58","26-32","2072","621","0.300"
"177","Texas A&M","65","43-21-1","2230","668","0.300"
"178","Jacksonville","56","27-29","1980","593","0.299"
"179","Mount St. Mary's","51","20-31","1669","498","0.298"
"180","Penn St.","52","22-30","1867","557","0.298"
"181","Evansville","59","32-27","1988","593","0.298"
"182","Ball St.","58","29-29","2102","627","0.298"
"183","Saint Louis","62","33-29","2173","648","0.298"
"184","The Citadel","65","43-22","2253","671","0.298"
"185","Fairfield","50","18-32","1736","517","0.298"
"186","Bradley","52","20-32","1732","515","0.297"
"187","Florida","64","47-17","2193","652","0.297"
"188","Southeastern La.","59","40-19","1988","591","0.297"
"189","Iowa","58","30-28","1992","592","0.297"
"190","FDU","54","16-38","1745","518","0.297"
"191","Alabama","67","42-25","2325","689","0.296"
"192","Mississippi St.","56","23-33","1923","569","0.296"
"193","Wichita St.","60","41-19","2066","611","0.296"
"194","Houston","57","25-32","2009","594","0.296"
"195","LMU (CA)","56","23-33","1940","573","0.295"
"196","UT Arlington","60","29-31","2137","630","0.295"
"197","Lafayette","45","15-30","1484","436","0.294"
"198","Miami (FL)","63","43-20","2169","637","0.294"
"199","Tennessee","56","30-26","1987","583","0.293"
"200","Boston College","58","30-28","1975","579","0.293"
"201","Elon","62","38-24","2186","640","0.293"
"202","Coppin St.","47","14-33","1486","435","0.293"
"203","Illinois St.","56","32-24","1958","573","0.293"
"204","La Salle","54","22-32","1880","550","0.293"
"205","Illinois","52","26-26","1805","528","0.293"
"206","Furman","56","19-37","1925","563","0.292"
"207","Marshall","58","27-31","1948","569","0.292"
"208","Washington St.","59","37-22","2020","590","0.292"
"209","Niagara","53","17-36","1815","530","0.292"
"210","Oregon","64","40-24","2137","624","0.292"
"211","Miami (OH)","56","28-28","1947","567","0.291"
"212","Southern California","60","28-32","2040","594","0.291"
"213","Wagner","57","26-31","1845","537","0.291"
"214","Florida A&M","42","10-31-1","1395","406","0.291"
"215","Nicholls","56","27-29","1890","550","0.291"
"216","Richmond","52","24-28","1846","537","0.291"
"217","Ark.-Pine Bluff","53","19-34","1709","497","0.291"
"218","Louisiana","60","38-22","2055","597","0.291"
"219","South Fla.","58","26-32","1997","579","0.290"
"220","Centenary (LA)","54","28-26","1739","504","0.290"
"221","Ole Miss","63","39-24","2196","635","0.289"
"222","Stanford","56","31-25","1984","573","0.289"
"223","North Dakota St.","52","22-30","1732","500","0.289"
"224","Oakland","57","23-34","1881","543","0.289"
"225","Fordham","56","21-35","2034","586","0.288"
"226","Missouri","55","29-26","1900","547","0.288"
"227","San Jose St.","60","23-37","2053","591","0.288"
"228","Little Rock","54","29-25","1836","528","0.288"
"229","Hawaii","63","35-28","2103","604","0.287"
"230","Charleston So.","55","17-38","1969","564","0.286"
"231","UNC Asheville","52","17-35","1837","526","0.286"
"232","Texas","63","50-13","2124","608","0.286"
"233","UNCW","60","33-27","2104","602","0.286"
"234","Temple","51","14-37","1868","534","0.286"
"235","Iona","49","9-40","1655","472","0.285"
"236","Georgetown","55","24-31","1953","556","0.285"
"237","Delaware St.","49","13-36","1582","450","0.284"
"238","Saint Joseph's","47","18-29","1636","465","0.284"
"239","Duke","56","29-27","1893","538","0.284"
"240","Mississippi Val.","53","23-30","1669","474","0.284"
"241","Old Dominion","54","24-30","1869","530","0.284"
"242","Kennesaw St.","55","23-32","1937","549","0.283"
"243","Portland","52","34-18","1782","505","0.283"
"244","UAB","53","28-25","1833","519","0.283"
"245","Prairie View","47","12-35","1580","447","0.283"
"246","Central Ark.","55","19-35-1","1962","555","0.283"
"247","Chicago St.","56","4-52","1810","512","0.283"
"248","Saint Mary's (CA)","52","19-32-1","1787","505","0.283"
"249","Gonzaga","56","20-36","1976","558","0.282"
"250","Creighton","52","27-25","1777","501","0.282"
"251","Pepperdine","54","24-30","1887","532","0.282"
"252","Harvard","43","17-26","1366","385","0.282"
"253","Eastern Mich.","59","27-32","2048","577","0.282"
"254","Wake Forest","55","18-37","1929","543","0.281"
"255","UTSA","50","22-28","1731","487","0.281"
"256","Eastern Ill.","53","18-35","1795","505","0.281"
"257","William & Mary","51","27-24","1686","474","0.281"
"258","Quinnipiac","53","14-39","1730","486","0.281"
"259","San Francisco","56","28-28","1972","553","0.280"
"260","Washington","56","28-28","1912","536","0.280"
"261","Sacramento St.","54","18-35-1","1866","523","0.280"
"262","Davidson","51","19-32","1773","496","0.280"
"263","Le Moyne","55","28-27","1763","492","0.279"
"264","Lehigh","50","23-27","1589","443","0.279"
"265","Saint Peter's","52","18-34","1693","469","0.277"
"266","Duquesne","56","16-40","1937","536","0.277"
"267","UC Santa Barbara","54","24-30","1883","520","0.276"
"268","Notre Dame","54","22-32","1874","517","0.276"
"269","LIU","56","14-42","1736","478","0.275"
"270","Cornell","37","17-20","1159","319","0.275"
"271","Purdue Fort Wayne","55","17-38","1809","496","0.274"
"272","New Orleans","52","13-39","1781","488","0.274"
"273","Monmouth","49","22-27","1596","437","0.274"
"274","ULM","55","17-38","1911","522","0.273"
"275","Hartford","48","11-37","1534","415","0.271"
"276","Western Mich.","54","12-42","1845","499","0.270"
"277","NIU","55","24-31","1850","497","0.269"
"278","Northeastern","44","13-31","1482","396","0.267"
"279","Oregon St.","56","32-24","1873","500","0.267"
"280","Missouri St.","55","21-34","1862","496","0.266"
"281","Cleveland St.","55","12-43","1905","505","0.265"
"282","UAlbany","53","13-40","1707","452","0.265"
"283","Princeton","42","12-30","1435","378","0.263"
"284","NJIT","57","13-44","1838","483","0.263"
"285","Seton Hall","50","19-30-1","1659","434","0.262"
"286","UNC Greensboro","53","20-33","1800","465","0.258"
"287","UMES","51","8-43","1537","397","0.258"
"288","Maryland","56","17-39","1848","477","0.258"
"289","Alabama A&M","49","17-32","1449","374","0.258"
"290","Cincinnati","58","29-29","1906","479","0.251"
"291","UMBC","48","9-39","1564","392","0.251"
"292","Alabama St.","41","13-28","1333","334","0.251"
Reclassifying
"NR","Bryant","56","34-22","1882","600","0.319"
"NR","CSU Bakersfield","56","26-30","2060","640","0.311"
"NR","SIUE","52","14-38","1750","511","0.292"
"NR","USC Upstate","56","19-37","1970","559","0.284"
"NR","North Dakota","54","19-35","1748","493","0.282"
"NR","Presbyterian","54","15-39","1876","504","0.269"
"NR","N.C. Central","47","3-44","1455","365","0.251"
"NR","Seattle U","50","11-39","1693","421","0.249"

NCAA Baseball
Division IScoring
Through Games 06/30/2010


"Rank","Name","G","W-L","R","PG"
"1","Georgia St.","58","34-23-1","608","10.5"
"2","Utah Valley","59","42-17","611","10.4"
"3","New Mexico St.","60","36-23-1","613","10.2"
"4","South Dakota St.","60","39-21","578","9.6"
"5","Pittsburgh","56","38-18","531","9.5"
"6","NC State","62","38-24","571","9.2"
"7","Col. of Charleston","63","44-19","576","9.1"
"8","Coastal Carolina","66","55-10","603","9.1"
"9","Auburn","64","43-21","584","9.1"
"10","Georgia Tech","62","47-15","563","9.1"
"11","Canisius","60","39-21","544","9.1"
"12","Rice","63","40-23","564","9.0"
"13","Morehead St.","50","24-25-1","445","8.9"
"14","Northern Colo.","58","34-24","510","8.8"
"15","High Point","60","31-29","526","8.8"
"16","Campbell","55","28-27","482","8.8"
"17","Southern Miss.","60","36-24","516","8.6"
"18","Charlotte","56","39-17","481","8.6"
"19","Clemson","70","45-25","600","8.6"
"20","Troy","61","36-25","521","8.5"
"21","Jackson St.","53","36-17","451","8.5"
"22","George Mason","50","28-22","425","8.5"
"23","Louisiana Tech","57","27-30","484","8.5"
"24","UConn","64","48-16","542","8.5"
"25","TCU","68","54-14","574","8.4"
"26","Central Conn. St.","56","33-23","472","8.4"
"27","Southern U.","47","25-22","396","8.4"
"28","Bethune-Cookman","57","35-22","480","8.4"
"29","Mercer","62","38-24","521","8.4"
"30","Arizona St.","62","52-10","520","8.4"
"31","ETSU","60","32-28","503","8.4"
"32","DBU","55","28-27","461","8.4"
"33","UCF","55","33-22","459","8.3"
"34","Manhattan","51","31-20","425","8.3"
"35","N.C. A&T","57","31-26","473","8.3"
"36","Oral Roberts","63","36-27","522","8.3"
"37","Alcorn","55","27-28","454","8.3"
"38","New Mexico","60","38-22","494","8.2"
"39","Penn","41","21-20","337","8.2"
"40","Southeast Mo. St.","55","30-25","452","8.2"
"41","James Madison","53","30-23","435","8.2"
"42","BYU","58","27-31","476","8.2"
"43","Tennessee Tech","56","31-25","459","8.2"
"44","Binghamton","51","31-20","418","8.2"
"45","FGCU","58","38-20","471","8.1"
"46","Jacksonville St.","58","32-26","469","8.1"
"47","Virginia","65","51-14","525","8.1"
"48","Wright St.","56","31-25","451","8.1"
"49","Savannah St.","50","24-26","402","8.0"
"50","Delaware","51","27-24","408","8.0"
"51","Florida St.","68","48-20","543","8.0"
"52","Murray St.","57","28-28-1","455","8.0"
"53","Grambling","54","22-32","431","8.0"
"54","FIU","61","36-25","483","7.9"
"55","LSU","63","41-22","497","7.9"
"56","Middle Tenn.","58","35-23","457","7.9"
"57","Kent St.","64","39-25","504","7.9"
"58","Bowling Green","55","31-23-1","433","7.9"
"59","Western Ky.","58","35-23","456","7.9"
"60","Michigan","57","35-22","448","7.9"
"61","Indiana","55","28-27","432","7.9"
"62","UIC","54","24-30","424","7.9"
"63","St. John's (NY)","63","43-20","494","7.8"
"64","Michigan St.","53","34-19","415","7.8"
"65","Virginia Tech","62","40-22","484","7.8"
"66","Marist","55","33-22","428","7.8"
"67","UNLV","58","29-29","451","7.8"
"68","North Carolina","60","38-22","466","7.8"
"69","Southeastern La.","59","40-19","458","7.8"
"70","Elon","62","38-24","481","7.8"
"71","North Florida","58","30-28","449","7.7"
"72","Oklahoma","68","50-18","525","7.7"
"73","Cal St. Fullerton","64","46-18","493","7.7"
"74","Toledo","56","34-22","431","7.7"
"75","Belmont","54","27-27","415","7.7"
"76","San Diego St.","56","28-28","430","7.7"
"77","East Carolina","59","32-27","453","7.7"
"78","Nevada","59","36-22-1","452","7.7"
"79","Ga. Southern","58","34-24","444","7.7"
"80","Tennessee","56","30-26","427","7.6"
"81","Kansas St.","59","37-22","448","7.6"
"82","Miami (FL)","63","43-20","478","7.6"
"83","App State","57","38-18-1","432","7.6"
"84","Rider","59","36-23","447","7.6"
"85","McNeese","58","31-27","439","7.6"
"86","Fresno St.","63","38-25","476","7.6"
"87","VMI","55","33-22","414","7.5"
"88","Liberty","61","42-19","459","7.5"
"89","George Washington","54","26-28","406","7.5"
"90","Arkansas","64","43-21","481","7.5"
"91","South Alabama","59","32-27","443","7.5"
"92","Texas Southern","56","30-26","419","7.5"
"93","SFA","54","34-20","403","7.5"
"94","Missouri","55","29-26","410","7.5"
"95","Youngstown St.","56","22-34","417","7.4"
"96","Longwood","48","28-20","356","7.4"
"97","Maine","56","34-22","415","7.4"
"98","Samford","56","31-25","414","7.4"
"99","Louisville","64","50-14","473","7.4"
"100","Little Rock","54","29-25","398","7.4"
"101","Northwestern St.","57","36-21","420","7.4"
"102","Mississippi St.","56","23-33","412","7.4"
"103","Wichita St.","60","41-19","441","7.4"
"104","Air Force","55","13-42","404","7.3"
"105","Ball St.","58","29-29","426","7.3"
"106","Yale","44","21-22-1","323","7.3"
"107","Jacksonville","56","27-29","411","7.3"
"108","Western Caro.","59","37-21-1","433","7.3"
"109","California","54","29-25","395","7.3"
"110","Cal Poly","55","23-32","402","7.3"
"111","Kentucky","56","31-25","409","7.3"
"112","Stony Brook","57","30-27","416","7.3"
"113","Vanderbilt","66","46-20","481","7.3"
"114","Valparaiso","56","24-32","407","7.3"
"115","Hofstra","49","20-28-1","356","7.3"
"116","Austin Peay","53","28-25","385","7.3"
"117","Texas Tech","57","28-29","413","7.2"
"118","Purdue","57","33-24","411","7.2"
"119","Lipscomb","55","19-36","396","7.2"
"","Radford","55","29-26","396","7.2"
"121","Indiana St.","54","35-19","388","7.2"
"122","Buffalo","52","23-29","372","7.2"
"123","Memphis","58","28-30","414","7.1"
"124","Santa Clara","54","23-31","385","7.1"
"125","South Carolina","70","54-16","499","7.1"
"126","Dayton","55","23-32","392","7.1"
"127","Fairfield","50","18-32","355","7.1"
"128","Illinois St.","56","32-24","397","7.1"
"129","Texas St.","60","38-22","425","7.1"
"130","Richmond","52","24-28","368","7.1"
"131","Eastern Ky.","55","28-27","389","7.1"
"132","Holy Cross","52","26-26","367","7.1"
"133","UC Riverside","55","32-23","388","7.1"
"134","Rutgers","57","30-26","402","7.1"
"135","Arizona","58","34-24","409","7.1"
"136","Lamar University","61","35-26","430","7.0"
"137","Oklahoma St.","55","29-26","387","7.0"
"138","Kansas","59","31-27-1","415","7.0"
"139","Saint Louis","62","33-29","436","7.0"
"140","UAB","53","28-25","371","7.0"
"","Gardner-Webb","55","25-30","385","7.0"
"","Davidson","51","19-32","357","7.0"
"143","Alabama","67","42-25","468","7.0"
"144","New York Tech","57","26-29-2","398","7.0"
"","Southern Ill.","57","28-29","398","7.0"
"146","Wofford","55","17-38","384","7.0"
"147","Miami (OH)","56","28-28","390","7.0"
"148","Ohio","55","20-35","382","6.9"
"149","VCU","61","34-26-1","423","6.9"
"150","Siena","54","27-27","374","6.9"
"","Nebraska","54","27-27","374","6.9"
"152","Evansville","59","32-27","408","6.9"
"153","UT Martin","55","24-31","380","6.9"
"154","UCLA","68","51-17","469","6.9"
"155","Fla. Atlantic","61","37-24","420","6.9"
"156","Butler","50","21-29","344","6.9"
"157","UTRGV","55","22-33","378","6.9"
"158","Florida","64","47-17","439","6.9"
"159","St. Bonaventure","48","17-31","329","6.9"
"160","Ole Miss","63","39-24","431","6.8"
"161","Baylor","60","36-24","410","6.8"
"162","Western Ill.","53","14-39","360","6.8"
"163","Texas","63","50-13","427","6.8"
"164","Utah","51","23-28","345","6.8"
"165","Dartmouth","46","27-19","311","6.8"
"166","Akron","55","21-34","371","6.7"
"167","Central Mich.","58","36-22","391","6.7"
"168","Massachusetts","46","19-27","310","6.7"
"169","Washington St.","59","37-22","397","6.7"
"170","CSUN","56","29-27","375","6.7"
"171","San Diego","59","37-22","395","6.7"
"172","Penn St.","52","22-30","348","6.7"
"173","Villanova","52","29-23","347","6.7"
"174","A&M-Corpus Christi","54","20-33-1","360","6.7"
"175","Ohio St.","51","28-23","338","6.6"
"176","Towson","55","19-36","364","6.6"
"177","UC Irvine","60","39-21","397","6.6"
"178","West Virginia","57","27-30","377","6.6"
"179","Pacific","54","31-23","357","6.6"
"180","Tulane","56","32-24","370","6.6"
"181","Winthrop","57","27-30","376","6.6"
"182","Columbia","47","26-21","310","6.6"
"183","Stetson","58","27-31","382","6.6"
"184","Illinois","52","26-26","342","6.6"
"185","Milwaukee","59","33-26","388","6.6"
"186","Boston College","58","30-28","381","6.6"
"187","Creighton","52","27-25","341","6.6"
"188","UNCW","60","33-27","393","6.6"
"189","Rhode Island","57","31-26","373","6.5"
"190","The Citadel","65","43-22","425","6.5"
"191","Bucknell","60","25-35","392","6.5"
"192","Old Dominion","54","24-30","352","6.5"
"193","Arkansas St.","58","30-28","377","6.5"
"","Xavier","58","26-32","377","6.5"
"195","Southern Utah","54","18-36","350","6.5"
"196","Georgetown","55","24-31","356","6.5"
"197","William & Mary","51","27-24","330","6.5"
"198","Delaware St.","49","13-36","317","6.5"
"199","Brown","44","13-31","284","6.5"
"200","Navy","51","30-21","328","6.4"
"201","Nicholls","56","27-29","360","6.4"
"202","Norfolk St.","51","21-29-1","327","6.4"
"203","Louisiana","60","38-22","381","6.4"
"204","LMU (CA)","56","23-33","355","6.3"
"205","UT Arlington","60","29-31","380","6.3"
"206","Wake Forest","55","18-37","348","6.3"
"207","Furman","56","19-37","354","6.3"
"208","Mississippi Val.","53","23-30","335","6.3"
"209","Iowa","58","30-28","366","6.3"
"210","FDU","54","16-38","338","6.3"
"211","Kennesaw St.","55","23-32","344","6.3"
"212","Prairie View","47","12-35","293","6.2"
"213","South Fla.","58","26-32","360","6.2"
"214","UTSA","50","22-28","310","6.2"
"215","Houston","57","25-32","353","6.2"
"216","Eastern Mich.","59","27-32","364","6.2"
"217","Duquesne","56","16-40","345","6.2"
"218","Texas A&M","65","43-21-1","400","6.2"
"219","UNC Greensboro","53","20-33","326","6.2"
"220","Florida A&M","42","10-31-1","258","6.1"
"221","Sacred Heart","58","31-27","355","6.1"
"222","Georgia","53","16-37","323","6.1"
"223","UC Davis","55","26-29","334","6.1"
"224","North Dakota St.","52","22-30","313","6.0"
"225","Minnesota","62","32-30","372","6.0"
"","Stanford","56","31-25","336","6.0"
"227","Iona","49","9-40","293","6.0"
"228","Hawaii","63","35-28","376","6.0"
"229","Fordham","56","21-35","333","5.9"
"230","Sam Houston","55","19-36","327","5.9"
"231","Centenary (LA)","54","28-26","321","5.9"
"232","Temple","51","14-37","302","5.9"
"233","Gonzaga","56","20-36","331","5.9"
"234","Monmouth","49","22-27","289","5.9"
"235","Niagara","53","17-36","312","5.9"
"236","Bradley","52","20-32","306","5.9"
"237","Oregon","64","40-24","376","5.9"
"238","Ark.-Pine Bluff","53","19-34","311","5.9"
"239","Army West Point","45","28-17","264","5.9"
"240","Marshall","58","27-31","340","5.9"
"241","Duke","56","29-27","328","5.9"
"242","Central Ark.","55","19-35-1","321","5.8"
"243","Saint Joseph's","47","18-29","274","5.8"
"244","Charleston So.","55","17-38","318","5.8"
"","Cleveland St.","55","12-43","318","5.8"
"246","ULM","55","17-38","317","5.8"
"","Long Beach St.","55","23-32","317","5.8"
"248","Sacramento St.","54","18-35-1","311","5.8"
"249","La Salle","54","22-32","310","5.7"
"","UC Santa Barbara","54","24-30","310","5.7"
"251","Portland","52","34-18","298","5.7"
"252","San Francisco","56","28-28","320","5.7"
"253","Southern California","60","28-32","341","5.7"
"254","Pepperdine","54","24-30","306","5.7"
"255","Oregon St.","56","32-24","313","5.6"
"256","Wagner","57","26-31","318","5.6"
"257","Saint Peter's","52","18-34","288","5.5"
"258","Le Moyne","55","28-27","304","5.5"
"259","New Orleans","52","13-39","287","5.5"
"260","Coppin St.","47","14-33","259","5.5"
"261","Washington","56","28-28","308","5.5"
"262","Notre Dame","54","22-32","293","5.4"
"263","Hartford","48","11-37","259","5.4"
"264","Northwestern","56","24-32","302","5.4"
"265","San Jose St.","60","23-37","322","5.4"
"266","Mount St. Mary's","51","20-31","273","5.4"
"267","NIU","55","24-31","293","5.3"
"268","Saint Mary's (CA)","52","19-32-1","277","5.3"
"269","Harvard","43","17-26","229","5.3"
"270","Alabama St.","41","13-28","218","5.3"
"271","UNC Asheville","52","17-35","276","5.3"
"272","Cornell","37","17-20","196","5.3"
"273","Eastern Ill.","53","18-35","278","5.2"
"274","Lafayette","45","15-30","236","5.2"
"275","UAlbany","53","13-40","276","5.2"
"276","Alabama A&M","49","17-32","251","5.1"
"277","Oakland","57","23-34","290","5.1"
"278","Quinnipiac","53","14-39","269","5.1"
