 


  
  

NCAA Baseball
Division IBatting Average
Through Games 06/24/2015


"Rank","Name","G","W-L","AB","H","BA"
"93","Purdue Fort Wayne","54","28-26","1802","509","0.282"
"94","Western Caro.","51","21-30","1754","495","0.282"
"95","Oklahoma","61","34-27","2088","589","0.282"
"96","Stetson","59","29-30","2058","580","0.282"
"97","UC Irvine","56","33-23","1914","539","0.282"
"98","Ball St.","58","33-25","2010","566","0.282"
"99","Ohio St.","55","35-20","1852","520","0.281"
"100","Gonzaga","52","24-28","1781","500","0.281"
"101","North Dakota","51","24-27","1650","462","0.280"
"","East Carolina","62","40-22","2050","574","0.280"
"","Eastern Ky.","50","21-29","1700","476","0.280"
"104","Ohio","57","36-21","2001","560","0.280"
"105","Maine","52","24-28","1778","497","0.280"
"106","Rhode Island","52","26-25-1","1703","476","0.280"
"107","Georgetown","53","25-28","1794","501","0.279"
"108","CSU Bakersfield","62","37-24-1","2128","594","0.279"
"109","Cal Poly","54","27-27","1889","527","0.279"
"110","Charleston So.","53","23-30","1850","516","0.279"
"111","Marist","47","19-27-1","1567","437","0.279"
"112","Oklahoma St.","58","38-20","1985","553","0.279"
"113","Oregon St.","58","39-18-1","1942","541","0.279"
"114","Wagner","51","27-23-1","1652","460","0.278"
"115","VMI","51","21-30","1740","484","0.278"
"116","Mississippi Val.","44","7-36-1","1467","407","0.277"
"117","FIU","61","30-31","2086","578","0.277"
"118","Air Force","52","23-29","1824","505","0.277"
"119","Illinois St.","54","27-27","1865","516","0.277"
"120","Northern Colo.","48","16-32","1613","446","0.277"
"121","Kennesaw St.","56","28-28","1907","527","0.276"
"122","Kansas","55","23-32","1883","519","0.276"
"123","McNeese","57","32-25","1967","542","0.276"
"124","Southern U.","43","20-23","1459","402","0.276"
"125","Nebraska","57","34-23","1931","532","0.276"
"126","Valparaiso","53","22-31","1873","516","0.275"
"127","Louisville","65","47-18","2218","611","0.275"
"128","Fordham","54","22-32","1805","497","0.275"
"129","Alabama","60","32-28","2089","575","0.275"
"130","SIUE","50","20-30","1733","477","0.275"
"131","Kent St.","53","31-22","1832","504","0.275"
"132","UT Arlington","56","24-32","1920","528","0.275"
"133","Bowling Green","54","25-29","1795","493","0.275"
"134","Lipscomb","59","39-20","1919","527","0.275"
"135","Indiana","59","35-24","2011","552","0.274"
"136","Fresno St.","59","31-28","1990","546","0.274"
"137","Hofstra","48","19-29","1622","445","0.274"
"138","Coastal Carolina","60","39-21","1977","542","0.274"
"139","New Mexico St.","50","11-38-1","1726","473","0.274"
"140","Wichita St.","59","26-33","1978","542","0.274"
"141","Evansville","53","29-24","1851","507","0.274"
"142","Seattle U","58","31-27","1928","528","0.274"
"143","California","57","36-21","1943","532","0.274"
"144","George Washington","54","32-22","1783","488","0.274"
"145","Akron","58","28-30","1956","535","0.274"
"146","USC Upstate","53","15-38","1814","496","0.273"
"147","Texas Tech","55","31-24","1915","523","0.273"
"148","Northwestern","54","18-36","1945","531","0.273"
"149","Georgia St.","57","30-27","1960","535","0.273"
"150","Auburn","62","36-26","2029","553","0.273"
"151","Memphis","58","37-21","1997","544","0.272"
"152","Elon","54","25-29","1854","505","0.272"
"153","Indiana St.","54","28-26","1815","494","0.272"
"154","LMU (CA)","55","33-21-1","1834","499","0.272"
"155","Louisiana","65","42-23","2202","599","0.272"
"156","Middle Tenn.","59","32-27","2019","549","0.272"
"157","Quinnipiac","56","29-27","1752","476","0.272"
"158","Southern Miss.","55","36-18-1","1889","513","0.272"
"159","ULM","54","25-29","1819","493","0.271"
"160","Virginia","68","44-24","2310","626","0.271"
"161","Mississippi St.","54","24-30","1821","493","0.271"
"162","Alcorn","56","16-40","1833","496","0.271"
"163","Arkansas St.","57","27-30","1955","529","0.271"
"164","Creighton","51","32-19","1678","454","0.271"
"165","Tennessee Tech","55","26-29","1930","522","0.270"
"166","Western Ky.","52","24-28","1768","478","0.270"
"167","Ark.-Pine Bluff","40","24-16","1354","366","0.270"
"168","Brown","39","11-28","1284","347","0.270"
"169","UNLV","56","25-31","1918","518","0.270"
"170","Georgia Tech","55","32-23","1875","506","0.270"
"171","William & Mary","52","22-30","1794","484","0.270"
"172","UT Martin","52","17-35","1830","493","0.269"
"173","The Citadel","58","28-30","1949","525","0.269"
"174","NC State","59","36-23","2047","551","0.269"
"175","Binghamton","43","17-24-2","1412","380","0.269"
"176","Savannah St.","54","21-33","1722","463","0.269"
"177","Iowa","59","41-18","2010","540","0.269"
"178","Yale","38","15-23","1278","343","0.268"
"179","Boston College","54","27-27","1833","491","0.268"
"180","Oakland","49","10-39","1722","461","0.268"
"181","Penn St.","48","18-30","1681","450","0.268"
"182","James Madison","51","18-33","1749","468","0.268"
"183","Villanova","50","22-28","1705","456","0.267"
"184","Georgia","54","26-28","1845","493","0.267"
"185","San Francisco","54","23-31","1838","491","0.267"
"186","Pepperdine","61","32-29","2048","547","0.267"
"187","UTRGV","52","21-30-1","1734","463","0.267"
"188","Houston","63","43-20","2105","562","0.267"
"189","New Orleans","54","14-40","1840","491","0.267"
"190","Sacramento St.","60","33-27","2058","549","0.267"
"191","West Virginia","54","27-27","1865","496","0.266"
"192","Troy","55","30-25","1810","481","0.266"
"193","Virginia Tech","54","27-27","1852","492","0.266"
"194","Bucknell","46","24-22","1507","400","0.265"
"195","North Dakota St.","51","20-31","1753","465","0.265"
"196","Miami (OH)","52","13-39","1795","476","0.265"
"197","Ole Miss","58","30-28","1912","506","0.265"
"198","UC Riverside","55","15-40","1916","507","0.265"
"199","Longwood","56","22-34","1913","506","0.265"
"200","Holy Cross","50","24-26","1603","424","0.265"
"201","South Fla.","61","34-26-1","2023","535","0.264"
"202","Nicholls","54","34-19-1","1741","460","0.264"
"203","Maryland","66","42-24","2182","576","0.264"
"204","Central Ark.","53","29-24","1773","468","0.264"
"205","North Carolina","58","34-24","1902","502","0.264"
"206","N.C. A&T","46","10-36","1535","405","0.264"
"207","Hartford","54","23-31","1774","468","0.264"
"208","SFA","51","17-34","1727","455","0.263"
"209","Prairie View","51","15-36","1610","423","0.263"
"210","Tennessee","50","24-26","1614","424","0.263"
"211","Cal St. Fullerton","64","39-25","2156","566","0.263"
"212","Northwestern St.","54","31-23","1816","476","0.262"
"213","Utah Valley","54","19-35","1843","483","0.262"
"214","Lehigh","56","25-31","1848","484","0.262"
"215","Liberty","56","33-23","1891","495","0.262"
"216","Minnesota","51","21-30","1763","461","0.261"
"217","Pacific","51","14-37","1712","447","0.261"
"218","LIU","51","16-35","1621","423","0.261"
"219","App State","53","17-36","1814","473","0.261"
"220","Louisiana Tech","52","25-27","1676","437","0.261"
"221","A&M-Corpus Christi","53","26-27","1746","454","0.260"
"222","Bradley","57","36-21","1841","478","0.260"
"223","Bethune-Cookman","59","19-40","1945","505","0.260"
"224","Santa Clara","54","26-28","1790","464","0.259"
"225","Florida St.","65","44-21","2154","558","0.259"
"226","Kansas St.","57","27-30","1869","484","0.259"
"227","Texas","57","30-27","1943","503","0.259"
"228","Chicago St.","54","13-40-1","1820","471","0.259"
"229","UNC Asheville","55","21-34","1896","490","0.258"
"230","Missouri","58","30-28","1889","487","0.258"
"231","Marshall","52","20-32","1742","449","0.258"
"232","Duke","53","31-22","1739","448","0.258"
"233","Rutgers","55","19-35-1","1825","470","0.258"
"234","FDU","47","21-26","1407","362","0.257"
"235","South Carolina","57","32-25","1882","484","0.257"
"236","Niagara","47","13-32-2","1432","368","0.257"
"237","Eastern Mich.","55","20-35","1837","472","0.257"
"238","Texas St.","57","24-32-1","1954","502","0.257"
"239","Murray St.","56","16-40","1888","485","0.257"
"240","Ga. Southern","57","30-27","1920","493","0.257"
"241","Lafayette","42","14-27-1","1344","345","0.257"
"242","CSUN","57","33-24","1875","481","0.257"
"243","Army West Point","47","21-26","1461","374","0.256"
"244","Baylor","55","23-32","1826","466","0.255"
"245","Northeastern","55","25-30","1868","476","0.255"
"246","Little Rock","49","16-33","1635","416","0.254"
"247","Purdue","54","20-34","1816","462","0.254"
"248","Grambling","50","11-39","1674","425","0.254"
"249","Dartmouth","43","21-22","1352","343","0.254"
"250","Xavier","53","15-38","1803","457","0.253"
"251","Buffalo","51","16-35","1665","422","0.253"
"252","Oregon","63","38-25","2084","528","0.253"
"253","Florida A&M","48","23-25","1575","399","0.253"
"254","Tulane","60","35-25","1972","499","0.253"
"255","UAlbany","42","14-28","1324","335","0.253"
"256","Stanford","56","24-32","1868","472","0.253"
"257","Pittsburgh","52","20-32","1714","433","0.253"
"258","NIU","55","22-33","1855","468","0.252"
"259","Utah","53","16-36-1","1726","435","0.252"
"260","Fairfield","49","17-32","1619","407","0.251"
"261","St. Bonaventure","47","16-29-2","1539","386","0.251"
"262","Washington","54","29-25","1836","460","0.251"
"263","UAB","58","33-25","1880","471","0.251"
"264","Rider","50","28-22","1648","412","0.250"
"265","Central Conn. St.","48","17-31","1513","378","0.250"
"266","Charlotte","48","19-29","1614","403","0.250"
"267","Notre Dame","60","37-23","2044","510","0.250"
"268","Southern Ill.","58","12-46","1969","491","0.249"
"269","N.C. Central","49","19-30","1547","385","0.249"
"270","Western Ill.","50","17-33","1658","412","0.248"
"271","Seton Hall","50","25-25","1627","404","0.248"
"272","Monmouth","46","22-24","1499","372","0.248"
"273","Toledo","58","25-33","1995","495","0.248"
"274","Youngstown St.","50","16-34","1693","420","0.248"
"275","Dayton","54","16-38","1819","451","0.248"
"276","Sacred Heart","56","23-32-1","1825","452","0.248"
"277","Western Mich.","52","22-30","1765","437","0.248"
"278","Siena","51","23-28","1608","397","0.247"
"279","Mount St. Mary's","43","12-31","1312","323","0.246"
"280","Cornell","40","13-27","1232","303","0.246"
"281","Hawaii","53","21-32","1715","421","0.245"
"282","Princeton","39","7-32","1208","296","0.245"
"283","Manhattan","52","18-34","1631","396","0.243"
"284","Long Beach St.","54","28-26","1785","430","0.241"
"285","San Jose St.","57","13-44","1871","450","0.241"
"286","Washington St.","56","29-27","1822","435","0.239"
"287","Portland","54","12-42","1767","421","0.238"
"288","New York Tech","44","14-30","1338","318","0.238"
"289","Massachusetts","43","16-27","1404","333","0.237"
"290","Gardner-Webb","53","22-31","1753","414","0.236"
"291","Saint Peter's","49","10-38-1","1562","368","0.236"
"292","Cincinnati","56","15-41","1841","432","0.235"
"293","Iona","53","20-33","1618","371","0.229"
"294","UMES","49","16-33","1512","333","0.220"
"295","Coppin St.","43","3-38-2","1299","279","0.215"
Reclassifying
"NR","Grand Canyon","54","32-22","1871","576","0.308"
"NR","Omaha","52","21-31","1768","496","0.281"
"NR","Northern Ky.","51","17-34","1760","477","0.271"
"NR","UMass Lowell","43","17-26","1341","345","0.257"
"NR","UIW","54","21-33","1857","472","0.254"
"NR","Abilene Christian","55","17-38","1854","451","0.243"

NCAA Baseball
Division IScoring
Through Games 06/24/2015


"Rank","Name","G","W-L","R","PG"
"1","Morehead St.","60","38-22","505","8.4"
"2","Miami (FL)","67","50-17","547","8.2"
"3","Southeast Mo. St.","59","36-23","473","8.0"
"4","Nevada","56","41-15","447","8.0"
"5","Alabama St.","50","31-19","390","7.8"
"6","North Florida","61","45-16","473","7.8"
"7","Jackson St.","57","32-25","441","7.7"
"8","Samford","58","32-26","435","7.5"
"9","Belmont","58","29-29","433","7.5"
"10","Col. of Charleston","60","45-15","439","7.3"
"11","Oral Roberts","57","41-16","414","7.3"
"12","Austin Peay","51","25-26","364","7.1"
"13","Jacksonville St.","57","30-27","402","7.1"
"14","New Mexico","59","32-27","416","7.1"
"15","Florida","70","52-18","489","7.0"
"16","UNCW","59","41-18","412","7.0"
"17","Western Caro.","51","21-30","353","6.9"
"18","Richmond","53","28-25","365","6.9"
"19","Bryant","54","29-25","371","6.9"
"20","South Dakota St.","56","33-23","384","6.9"
"21","Texas Southern","50","31-19","342","6.8"
"22","Fla. Atlantic","61","42-19","417","6.8"
"23","LSU","66","54-12","451","6.8"
"24","Central Mich.","57","35-22","389","6.8"
"25","Wofford","61","39-22","414","6.8"
"26","Mercer","58","35-23","393","6.8"
"27","Wright St.","60","43-17","406","6.8"
"28","La Salle","52","24-27-1","351","6.8"
"","Coastal Carolina","60","39-21","405","6.8"
"30","Milwaukee","59","39-20","396","6.7"
"31","Florida St.","65","44-21","435","6.7"
"32","Canisius","64","34-30","427","6.7"
"33","Texas A&M","64","50-14","424","6.6"
"34","Vanderbilt","72","51-21","476","6.6"
"35","DBU","61","46-15","402","6.6"
"","Radford","61","45-16","402","6.6"
"37","Tennessee Tech","55","26-29","361","6.6"
"38","Oklahoma St.","58","38-20","380","6.6"
"39","Purdue Fort Wayne","54","28-26","353","6.5"
"40","Saint Louis","56","35-21","366","6.5"
"41","UConn","60","35-25","389","6.5"
"42","Furman","58","25-33","376","6.5"
"43","Davidson","50","28-22","324","6.5"
"44","Columbia","51","34-17","330","6.5"
"45","Elon","54","25-29","348","6.4"
"46","Towson","54","17-35-2","346","6.4"
"47","Norfolk St.","43","27-16","275","6.4"
"48","Illinois","61","50-10-1","389","6.4"
"49","Alabama A&M","57","26-31","363","6.4"
"50","Clemson","61","32-29","386","6.3"
"51","Southeastern La.","59","42-17","373","6.3"
"52","San Diego St.","64","41-23","404","6.3"
"53","James Madison","51","18-33","321","6.3"
"54","Southern California","60","39-21","377","6.3"
"55","Delaware","50","26-24","314","6.3"
"56","Illinois St.","54","27-27","339","6.3"
"57","Evansville","53","29-24","332","6.3"
"58","Michigan","64","39-25","400","6.3"
"","UIC","52","29-22-1","325","6.3"
"","ETSU","56","21-35","350","6.3"
"61","Missouri St.","61","49-12","381","6.2"
"62","Ohio","57","36-21","356","6.2"
"63","Delaware St.","45","16-29","281","6.2"
"64","UTSA","58","33-25","362","6.2"
"65","UNC Greensboro","50","23-27","312","6.2"
"66","Arizona","55","31-24","343","6.2"
"67","Stony Brook","52","35-16-1","324","6.2"
"68","Jacksonville","56","26-30","347","6.2"
"69","Wake Forest","53","27-26","328","6.2"
"70","UCF","58","31-27","357","6.2"
"71","Winthrop","59","40-19","362","6.1"
"72","Ark.-Pine Bluff","40","24-16","245","6.1"
"73","UNC Asheville","55","21-34","331","6.0"
"74","Prairie View","51","15-36","305","6.0"
"75","Maryland","66","42-24","394","6.0"
"76","FIU","61","30-31","364","6.0"
"77","VMI","51","21-30","304","6.0"
"78","Arkansas","65","40-25","387","6.0"
"79","Southern U.","43","20-23","256","6.0"
"80","UCLA","61","45-16","363","6.0"
"81","Ball St.","58","33-25","345","5.9"
"82","UMBC","54","34-20","320","5.9"
"83","Louisiana","65","42-23","385","5.9"
"84","High Point","55","29-26","325","5.9"
"","Georgia Tech","55","32-23","325","5.9"
"86","BYU","53","28-25","312","5.9"
"87","Stetson","59","29-30","347","5.9"
"88","TCU","66","51-15","388","5.9"
"89","NC State","59","36-23","344","5.8"
"90","Wichita St.","59","26-33","342","5.8"
"91","Valparaiso","53","22-31","305","5.8"
"92","South Alabama","57","37-20","328","5.8"
"93","Murray St.","56","16-40","322","5.8"
"94","CSU Bakersfield","62","37-24-1","356","5.7"
"95","Alcorn","56","16-40","321","5.7"
"96","San Diego","55","33-22","315","5.7"
"97","The Citadel","58","28-30","332","5.7"
"98","Eastern Ky.","50","21-29","286","5.7"
"99","Arkansas St.","57","27-30","326","5.7"
"100","William & Mary","52","22-30","297","5.7"
"101","Rider","50","28-22","285","5.7"
"102","Presbyterian","55","27-28","313","5.7"
"103","Bowling Green","54","25-29","307","5.7"
"104","Houston","63","43-20","358","5.7"
"105","SIUE","50","20-30","283","5.7"
"106","Texas St.","57","24-32-1","322","5.6"
"","St. John's (NY)","57","41-16","322","5.6"
"108","Michigan St.","57","34-23","321","5.6"
"109","Virginia Tech","54","27-27","304","5.6"
"110","NJIT","48","24-23-1","270","5.6"
"111","Oregon St.","58","39-18-1","326","5.6"
"112","Southern Miss.","55","36-18-1","309","5.6"
"113","Navy","57","37-20","320","5.6"
"114","Rice","59","37-22","331","5.6"
"115","VCU","65","40-25","364","5.6"
"116","Harvard","42","18-24","235","5.6"
"117","Lipscomb","59","39-20","330","5.6"
"118","Penn","37","22-15","206","5.6"
"119","New Mexico St.","50","11-38-1","278","5.6"
"120","Cal Poly","54","27-27","300","5.6"
"121","Saint Joseph's","49","21-28","272","5.6"
"122","UTRGV","52","21-30-1","288","5.5"
"123","Ohio St.","55","35-20","304","5.5"
"124","South Carolina","57","32-25","315","5.5"
"125","Old Dominion","56","27-29","309","5.5"
"126","Memphis","58","37-21","320","5.5"
"127","Saint Mary's (CA)","55","28-27","303","5.5"
"128","Louisiana Tech","52","25-27","286","5.5"
"","Penn St.","48","18-30","264","5.5"
"130","North Carolina","58","34-24","318","5.5"
"131","Hofstra","48","19-29","263","5.5"
"132","George Mason","51","23-27-1","279","5.5"
"133","Louisville","65","47-18","355","5.5"
"134","FGCU","57","30-26-1","311","5.5"
"135","Eastern Ill.","49","13-36","267","5.4"
"136","Air Force","52","23-29","283","5.4"
"137","Kennesaw St.","56","28-28","304","5.4"
"138","Arizona St.","58","35-23","314","5.4"
"139","Miami (OH)","52","13-39","281","5.4"
"140","UC Irvine","56","33-23","302","5.4"
"141","California","57","36-21","307","5.4"
"","Georgia St.","57","30-27","307","5.4"
"143","Oregon","63","38-25","338","5.4"
"144","Seattle U","58","31-27","311","5.4"
"145","Indiana","59","35-24","316","5.4"
"146","Western Ky.","52","24-28","278","5.3"
"147","UC Santa Barbara","58","40-17-1","308","5.3"
"148","Texas Tech","55","31-24","292","5.3"
"149","Lehigh","56","25-31","297","5.3"
"150","Butler","53","23-30","281","5.3"
"","Georgetown","53","25-28","281","5.3"
"","Kent St.","53","31-22","281","5.3"
"153","UC Davis","57","30-26-1","302","5.3"
"154","Georgia","54","26-28","286","5.3"
"155","Oklahoma","61","34-27","323","5.3"
"156","Bradley","57","36-21","301","5.3"
"157","Mississippi St.","54","24-30","285","5.3"
"158","Wagner","51","27-23-1","269","5.3"
"159","Kentucky","55","30-25","289","5.3"
"160","Virginia","68","44-24","357","5.3"
"","Alabama","60","32-28","315","5.3"
"162","Campbell","57","32-25","299","5.2"
"163","Notre Dame","60","37-23","314","5.2"
"164","Maine","52","24-28","271","5.2"
"165","Kansas St.","57","27-30","297","5.2"
"166","Liberty","56","33-23","291","5.2"
"167","Indiana St.","54","28-26","280","5.2"
"168","Seton Hall","50","25-25","259","5.2"
"169","UT Martin","52","17-35","269","5.2"
"170","Gonzaga","52","24-28","268","5.2"
"171","Central Ark.","53","29-24","273","5.2"
"172","LMU (CA)","55","33-21-1","283","5.1"
"173","Ole Miss","58","30-28","298","5.1"
"174","Middle Tenn.","59","32-27","303","5.1"
"175","West Virginia","54","27-27","276","5.1"
"176","Kansas","55","23-32","281","5.1"
"177","Sam Houston","59","31-28","301","5.1"
"178","Binghamton","43","17-24-2","219","5.1"
"179","East Carolina","62","40-22","315","5.1"
"180","Creighton","51","32-19","259","5.1"
"181","South Fla.","61","34-26-1","309","5.1"
"182","Boston College","54","27-27","273","5.1"
"183","Fresno St.","59","31-28","298","5.1"
"184","Grambling","50","11-39","252","5.0"
"185","Mississippi Val.","44","7-36-1","221","5.0"
"186","Utah Valley","54","19-35","271","5.0"
"187","Pepperdine","61","32-29","306","5.0"
"188","Rhode Island","52","26-25-1","260","5.0"
"","Fordham","54","22-32","270","5.0"
"190","Cal St. Fullerton","64","39-25","319","5.0"
"191","Iowa","59","41-18","293","5.0"
"192","ULM","54","25-29","268","5.0"
"193","Northern Colo.","48","16-32","238","5.0"
"194","USC Upstate","53","15-38","262","4.9"
"195","Quinnipiac","56","29-27","276","4.9"
"196","Purdue","54","20-34","265","4.9"
"","Northwestern St.","54","31-23","265","4.9"
"198","Pittsburgh","52","20-32","255","4.9"
"199","North Dakota St.","51","20-31","249","4.9"
"200","Ga. Southern","57","30-27","278","4.9"
"201","Bucknell","46","24-22","224","4.9"
"202","Yale","38","15-23","185","4.9"
"203","Western Mich.","52","22-30","253","4.9"
"204","Holy Cross","50","24-26","243","4.9"
"205","Auburn","62","36-26","301","4.9"
"206","UNLV","56","25-31","270","4.8"
"207","Rutgers","55","19-35-1","265","4.8"
"208","Duke","53","31-22","255","4.8"
"209","Nebraska","57","34-23","274","4.8"
"210","UAB","58","33-25","278","4.8"
"211","App State","53","17-36","254","4.8"
"212","Army West Point","47","21-26","225","4.8"
"213","Longwood","56","22-34","268","4.8"
"","UT Arlington","56","24-32","268","4.8"
"215","Akron","58","28-30","277","4.8"
"216","A&M-Corpus Christi","53","26-27","253","4.8"
"217","Marist","47","19-27-1","224","4.8"
"218","Brown","39","11-28","185","4.7"
"219","Charleston So.","53","23-30","251","4.7"
"220","Houston Christian","55","28-27","260","4.7"
"221","Missouri","58","30-28","274","4.7"
"222","N.C. Central","49","19-30","231","4.7"
"223","George Washington","54","32-22","253","4.7"
"224","NIU","55","22-33","257","4.7"
"225","Minnesota","51","21-30","238","4.7"
"226","Texas","57","30-27","265","4.6"
"227","North Dakota","51","24-27","237","4.6"
"228","Niagara","47","13-32-2","218","4.6"
"229","Villanova","50","22-28","231","4.6"
"230","Sacramento St.","60","33-27","277","4.6"
"231","N.C. A&T","46","10-36","212","4.6"
"232","Buffalo","51","16-35","235","4.6"
"233","Washington","54","29-25","248","4.6"
"234","Northeastern","55","25-30","252","4.6"
"235","Tennessee","50","24-26","229","4.6"
"236","Lamar University","52","21-31","238","4.6"
"237","Bethune-Cookman","59","19-40","270","4.6"
"238","Dayton","54","16-38","246","4.6"
"239","McNeese","57","32-25","259","4.5"
"240","Savannah St.","54","21-33","244","4.5"
"241","Santa Clara","54","26-28","243","4.5"
"242","Troy","55","30-25","247","4.5"
"243","Oakland","49","10-39","220","4.5"
"244","Fairfield","49","17-32","219","4.5"
"245","San Francisco","54","23-31","241","4.5"
"246","Monmouth","46","22-24","205","4.5"
"247","Xavier","53","15-38","236","4.5"
"248","FDU","47","21-26","209","4.4"
"249","Siena","51","23-28","226","4.4"
"250","Florida A&M","48","23-25","212","4.4"
"251","SFA","51","17-34","225","4.4"
"252","Chicago St.","54","13-40-1","238","4.4"
"","Hartford","54","23-31","238","4.4"
"254","Utah","53","16-36-1","233","4.4"
"255","Tulane","60","35-25","261","4.4"
"256","Cincinnati","56","15-41","241","4.3"
"257","Dartmouth","43","21-22","185","4.3"
"258","Cornell","40","13-27","172","4.3"
"259","Sacred Heart","56","23-32-1","240","4.3"
"260","CSUN","57","33-24","244","4.3"
"261","UAlbany","42","14-28","179","4.3"
"262","Charlotte","48","19-29","204","4.3"
"263","Northwestern","54","18-36","229","4.2"
"264","Stanford","56","24-32","237","4.2"
"265","Marshall","52","20-32","220","4.2"
"266","Western Ill.","50","17-33","211","4.2"
"267","LIU","51","16-35","214","4.2"
"268","Lafayette","42","14-27-1","175","4.2"
"269","Eastern Mich.","55","20-35","229","4.2"
"270","Youngstown St.","50","16-34","208","4.2"
"271","Washington St.","56","29-27","232","4.1"
"272","Baylor","55","23-32","226","4.1"
"273","Pacific","51","14-37","208","4.1"
"274","Hawaii","53","21-32","216","4.1"
"275","Toledo","58","25-33","234","4.0"
